VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
,,65743,,,,,,LA65743,,,NRG,,,Yes
,,65748,,,,,,LA65748,,,NRG,,,Yes
,,65749,,,,,,LA65749,,,NRG,,,Yes
,,65750,,,,,,LA65750,,,NRG,,,Yes
,,65751,,,,,,LA65751,,,NRG,,,Yes
,,65753,,,,,,LA65753,,,NRG,,,Yes
,,65755,,,,,,LA65755,,,NRG,,,Yes
,,65756,,,,,,LA65756,,,NRG,,,Yes
,,65758,,,,,,LA65758,,,NRG,,,Yes
,,65762,,,,,,LA65762,,,NRG,,,Yes
,,65766,,,,,,LA65766,,,NRG,,,Yes
,,65767,,,,,,LA65767,,,NRG,,,Yes
,,65768,,,,,,LA65768,,,NRG,,,Yes
,,65772,,,,,,LA65772,,,NRG,,,Yes
,,65773,,,,,,LA65773,,,NRG,,,Yes
,,65774,,,,,,LA65774,,,NRG,,,Yes
,,65775,,,,,,LA65775,,,NRG,,,Yes
,,65776,,,,,,LA65776,,,NRG,,,Yes
,,65778,,,,,,LA65778,,,NRG,,,Yes
,,65779,,,,,,LA65779,,,NRG,,,Yes
,,65780,,,,,,LA65780,,,NRG,,,Yes
,,65782,,,,,,LA65782,,,NRG,,,Yes
,,65783,,,,,,LA65783,,,NRG,,,Yes
,,65784,,,,,,LA65784,,,NRG,,,Yes
,,65785,,,,,,LA65785,,,NRG,,,Yes
,,65786,,,,,,LA65786,,,NRG,,,Yes
,,65787,,,,,,LA65787,,,NRG,,,Yes
,,65788,,,,,,LA65788,,,NRG,,,Yes
,,65789,,,,,,LA65789,,,NRG,,,Yes
,,65790,,,,,,LA65790,,,NRG,,,Yes
,,65791,,,,,,LA65791,,,NRG,,,Yes
,,65792,,,,,,LA65792,,,NRG,,,Yes
,,65793,,,,,,LA65793,,,NRG,,,Yes
,,65794,,,,,,LA65794,,,NRG,,,Yes
,,65795,,,,,,LA65795,,,NRG,,,Yes
,,65796,,,,,,LA65796,,,NRG,,,Yes
,,65798,,,,,,LA65798,,,NRG,,,Yes
,,65800,,,,,,LA65800,,,NRG,,,Yes
,,65802,,,,,,LA65802,,,NRG,,,Yes
,,65803,,,,,,LA65803,,,NRG,,,Yes
,,65805,,,,,,LA65805,,,NRG,,,Yes
,,65806,,,,,,LA65806,,,NRG,,,Yes
,,65808,,,,,,LA65808,,,NRG,,,Yes
,,65809,,,,,,LA65809,,,NRG,,,Yes
,,65812,,,,,,LA65812,,,NRG,,,Yes
,,65813,,,,,,LA65813,,,NRG,,,Yes
,,65814,,,,,,LA65814,,,NRG,,,Yes
,,65815,,,,,,LA65815,,,NRG,,,Yes
,,65816,,,,,,LA65816,,,NRG,,,Yes
,,65817,,,,,,LA65817,,,NRG,,,Yes
,,65818,,,,,,LA65818,,,NRG,,,Yes
,,65819,,,,,,LA65819,,,NRG,,,Yes
,,65822,,,,,,LA65822,,,NRG,,,Yes
,,65824,,,,,,LA65824,,,NRG,,,Yes
,,65825,,,,,,LA65825,,,NRG,,,Yes
,,65826,,,,,,LA65826,,,NRG,,,Yes
,,65830,,,,,,LA65830,,,NRG,,,Yes
,,65832,,,,,,LA65832,,,NRG,,,Yes
,,65834,,,,,,LA65834,,,NRG,,,Yes
,,65836,,,,,,LA65836,,,NRG,,,Yes
,,65838,,,,,,LA65838,,,NRG,,,Yes
,,65839,,,,,,LA65839,,,NRG,,,Yes
,,65840,,,,,,LA65840,,,NRG,,,Yes
,,65841,,,,,,LA65841,,,NRG,,,Yes
,,65842,,,,,,LA65842,,,NRG,,,Yes
,,65843,,,,,,LA65843,,,NRG,,,Yes
,,65845,,,,,,LA65845,,,NRG,,,Yes
,,65846,,,,,,LA65846,,,NRG,,,Yes
,,65848,,,,,,LA65848,,,NRG,,,Yes
,,65849,,,,,,LA65849,,,NRG,,,Yes
,,65850,,,,,,LA65850,,,NRG,,,Yes
,,65852,,,,,,LA65852,,,NRG,,,Yes
,,65856,,,,,,LA65856,,,NRG,,,Yes
,,65857,,,,,,LA65857,,,NRG,,,Yes
,,65863,,,,,,LA65863,,,NRG,,,Yes
,,65869,,,,,,LA65869,,,NRG,,,Yes
,,65909,,,,,,LA65909,,,NRG,,,Yes
,,66170,,,,,,LA66170,,,NRG,,,Yes
,,66171,,,,,,LA66171,,,NRG,,,Yes
,,66172,,,,,,LA66172,,,NRG,,,Yes
,,66683,,,,,,LA66683,,,NRG,,,Yes
,,66684,,,,,,LA66684,,,NRG,,,Yes
,,66868,,,,,,LA66868,,,NRG,,,Yes
,,68392,,,,,,LA68392,,,NRG,,,Yes
,,70019,,,,,,LA70019,,,NRG,,,Yes
,,70025,,,,,,LA70025,,,NRG,,,Yes
,,70030,,,,,,LA70030,,,NRG,,,Yes
,,70759,,,,,,LA70759,,,NRG,,,Yes
,,70761,,,,,,LA70761,,,NRG,,,Yes
,,70764,,,,,,LA70764,,,NRG,,,Yes
,,70765,,,,,,LA70765,,,NRG,,,Yes
,,70766,,,,,,LA70766,,,NRG,,,Yes
,,70767,,,,,,LA70767,,,NRG,,,Yes
,,70768,,,,,,LA70768,,,NRG,,,Yes
,,70770,,,,,,LA70770,,,NRG,,,Yes
,,70774,,,,,,LA70774,,,NRG,,,Yes
,,70777,,,,,,LA70777,,,NRG,,,Yes
,,70778,,,,,,LA70778,,,NRG,,,Yes
,,70782,,,,,,LA70782,,,NRG,,,Yes
,,70783,,,,,,LA70783,,,NRG,,,Yes
,,70784,,,,,,LA70784,,,NRG,,,Yes
,,70785,,,,,,LA70785,,,NRG,,,Yes
,,70787,,,,,,LA70787,,,NRG,,,Yes
,,70789,,,,,,LA70789,,,NRG,,,Yes
,,70791,,,,,,LA70791,,,NRG,,,Yes
,,70793,,,,,,LA70793,,,NRG,,,Yes
,,70794,,,,,,LA70794,,,NRG,,,Yes
,,70796,,,,,,LA70796,,,NRG,,,Yes
,,70797,,,,,,LA70797,,,NRG,,,Yes
,,70798,,,,,,LA70798,,,NRG,,,Yes
,,70799,,,,,,LA70799,,,NRG,,,Yes
,,70800,,,,,,LA70800,,,NRG,,,Yes
,,70801,,,,,,LA70801,,,NRG,,,Yes
,,70802,,,,,,LA70802,,,NRG,,,Yes
,,70803,,,,,,LA70803,,,NRG,,,Yes
,,70804,,,,,,LA70804,,,NRG,,,Yes
,,70807,,,,,,LA70807,,,NRG,,,Yes
,,70808,,,,,,LA70808,,,NRG,,,Yes
,,70810,,,,,,LA70810,,,NRG,,,Yes
,,70817,,,,,,LA70817,,,NRG,,,Yes
,,70820,,,,,,LA70820,,,NRG,,,Yes
,,70825,,,,,,LA70825,,,NRG,,,Yes
,,70826,,,,,,LA70826,,,NRG,,,Yes
,,70829,,,,,,LA70829,,,NRG,,,Yes
,,70840,,,,,,LA70840,,,NRG,,,Yes
,,70841,,,,,,LA70841,,,NRG,,,Yes
,,70845,,,,,,LA70845,,,NRG,,,Yes
,,70846,,,,,,LA70846,,,NRG,,,Yes
,,70848,,,,,,LA70848,,,NRG,,,Yes
,,70849,,,,,,LA70849,,,NRG,,,Yes
,,70850,,,,,,LA70850,,,NRG,,,Yes
,,70853,,,,,,LA70853,,,NRG,,,Yes
,,70854,,,,,,LA70854,,,NRG,,,Yes
,,70857,,,,,,LA70857,,,NRG,,,Yes
,,70860,,,,,,LA70860,,,NRG,,,Yes
,,70864,,,,,,LA70864,,,NRG,,,Yes
,,70866,,,,,,LA70866,,,NRG,,,Yes
,,70867,,,,,,LA70867,,,NRG,,,Yes
,,70868,,,,,,LA70868,,,NRG,,,Yes
,,70869,,,,,,LA70869,,,NRG,,,Yes
,,70873,,,,,,LA70873,,,NRG,,,Yes
,,70874,,,,,,LA70874,,,NRG,,,Yes
,,70877,,,,,,LA70877,,,NRG,,,Yes
,,70878,,,,,,LA70878,,,NRG,,,Yes
,,70879,,,,,,LA70879,,,NRG,,,Yes
,,70880,,,,,,LA70880,,,NRG,,,Yes
,,70881,,,,,,LA70881,,,NRG,,,Yes
,,70882,,,,,,LA70882,,,NRG,,,Yes
,,70883,,,,,,LA70883,,,NRG,,,Yes
,,70885,,,,,,LA70885,,,NRG,,,Yes
,,70886,,,,,,LA70886,,,NRG,,,Yes
,,70887,,,,,,LA70887,,,NRG,,,Yes
,,70888,,,,,,LA70888,,,NRG,,,Yes
,,70889,,,,,,LA70889,,,NRG,,,Yes
,,70890,,,,,,LA70890,,,NRG,,,Yes
,,70892,,,,,,LA70892,,,NRG,,,Yes
,,70895,,,,,,LA70895,,,NRG,,,Yes
,,70896,,,,,,LA70896,,,NRG,,,Yes
,,70902,,,,,,LA70902,,,NRG,,,Yes
,,70906,,,,,,LA70906,,,NRG,,,Yes
,,70913,,,,,,LA70913,,,NRG,,,Yes
,,70914,,,,,,LA70914,,,NRG,,,Yes
,,70916,,,,,,LA70916,,,NRG,,,Yes
,,70917,,,,,,LA70917,,,NRG,,,Yes
,,70919,,,,,,LA70919,,,NRG,,,Yes
,,70921,,,,,,LA70921,,,NRG,,,Yes
,,70922,,,,,,LA70922,,,NRG,,,Yes
,,70924,,,,,,LA70924,,,NRG,,,Yes
,,70925,,,,,,LA70925,,,NRG,,,Yes
,,70930,,,,,,LA70930,,,NRG,,,Yes
,,70939,,,,,,LA70939,,,NRG,,,Yes
,,70944,,,,,,LA70944,,,NRG,,,Yes
,,70945,,,,,,LA70945,,,NRG,,,Yes
,,70946,,,,,,LA70946,,,NRG,,,Yes
,,70949,,,,,,LA70949,,,NRG,,,Yes
,,70950,,,,,,LA70950,,,NRG,,,Yes
,,70955,,,,,,LA70955,,,NRG,,,Yes
,,70957,,,,,,LA70957,,,NRG,,,Yes
,,70960,,,,,,LA70960,,,NRG,,,Yes
,,70961,,,,,,LA70961,,,NRG,,,Yes
,,70964,,,,,,LA70964,,,NRG,,,Yes
,,70965,,,,,,LA70965,,,NRG,,,Yes
,,70967,,,,,,LA70967,,,NRG,,,Yes
,,70968,,,,,,LA70968,,,NRG,,,Yes
,,70970,,,,,,LA70970,,,NRG,,,Yes
,,70971,,,,,,LA70971,,,NRG,,,Yes
,,70974,,,,,,LA70974,,,NRG,,,Yes
,,70975,,,,,,LA70975,,,NRG,,,Yes
,,70976,,,,,,LA70976,,,NRG,,,Yes
,,70984,,,,,,LA70984,,,NRG,,,Yes
,,70994,,,,,,LA70994,,,NRG,,,Yes
,,70995,,,,,,LA70995,,,NRG,,,Yes
,,70997,,,,,,LA70997,,,NRG,,,Yes
,,71000,,,,,,LA71000,,,NRG,,,Yes
,,71001,,,,,,LA71001,,,NRG,,,Yes
,,71002,,,,,,LA71002,,,NRG,,,Yes
,,71003,,,,,,LA71003,,,NRG,,,Yes
,,71004,,,,,,LA71004,,,NRG,,,Yes
,,71010,,,,,,LA71010,,,NRG,,,Yes
,,71011,,,,,,LA71011,,,NRG,,,Yes
,,71015,,,,,,LA71015,,,NRG,,,Yes
,,71022,,,,,,LA71022,,,NRG,,,Yes
,,71024,,,,,,LA71024,,,NRG,,,Yes
,,71025,,,,,,LA71025,,,NRG,,,Yes
,,71030,,,,,,LA71030,,,NRG,,,Yes
,,71031,,,,,,LA71031,,,NRG,,,Yes
,,71033,,,,,,LA71033,,,NRG,,,Yes
,,71037,,,,,,LA71037,,,NRG,,,Yes
,,71038,,,,,,LA71038,,,NRG,,,Yes
,,71039,,,,,,LA71039,,,NRG,,,Yes
,,71041,,,,,,LA71041,,,NRG,,,Yes
,,71045,,,,,,LA71045,,,NRG,,,Yes
,,71054,,,,,,LA71054,,,NRG,,,Yes
,,71055,,,,,,LA71055,,,NRG,,,Yes
,,71057,,,,,,LA71057,,,NRG,,,Yes
,,71059,,,,,,LA71059,,,NRG,,,Yes
,,71060,,,,,,LA71060,,,NRG,,,Yes
,,71062,,,,,,LA71062,,,NRG,,,Yes
,,71063,,,,,,LA71063,,,NRG,,,Yes
,,71065,,,,,,LA71065,,,NRG,,,Yes
,,71067,,,,,,LA71067,,,NRG,,,Yes
,,71069,,,,,,LA71069,,,NRG,,,Yes
,,71071,,,,,,LA71071,,,NRG,,,Yes
,,71077,,,,,,LA71077,,,NRG,,,Yes
,,71078,,,,,,LA71078,,,NRG,,,Yes
,,71083,,,,,,LA71083,,,NRG,,,Yes
,,71090,,,,,,LA71090,,,NRG,,,Yes
,,71095,,,,,,LA71095,,,NRG,,,Yes
,,71103,,,,,,LA71103,,,NRG,,,Yes
,,71106,,,,,,LA71106,,,NRG,,,Yes
,,71120,,,,,,LA71120,,,NRG,,,Yes
,,71122,,,,,,LA71122,,,NRG,,,Yes
,,71124,,,,,,LA71124,,,NRG,,,Yes
,,71125,,,,,,LA71125,,,NRG,,,Yes
,,71127,,,,,,LA71127,,,NRG,,,Yes
,,71128,,,,,,LA71128,,,NRG,,,Yes
,,71129,,,,,,LA71129,,,NRG,,,Yes
,,71131,,,,,,LA71131,,,NRG,,,Yes
,,71132,,,,,,LA71132,,,NRG,,,Yes
,,71133,,,,,,LA71133,,,NRG,,,Yes
,,71137,,,,,,LA71137,,,NRG,,,Yes
,,71138,,,,,,LA71138,,,NRG,,,Yes
,,71141,,,,,,LA71141,,,NRG,,,Yes
,,71142,,,,,,LA71142,,,NRG,,,Yes
,,71144,,,,,,LA71144,,,NRG,,,Yes
,,71146,,,,,,LA71146,,,NRG,,,Yes
,,71150,,,,,,LA71150,,,NRG,,,Yes
,,71157,,,,,,LA71157,,,NRG,,,Yes
,,71258,,,,,,LA71258,,,NRG,,,Yes
,,71407,,,,,,LA71407,,,NRG,,,Yes
,,71408,,,,,,LA71408,,,NRG,,,Yes
,,71409,,,,,,LA71409,,,NRG,,,Yes
,,71410,,,,,,LA71410,,,NRG,,,Yes
,,71468,,,,,,LA71468,,,NRG,,,Yes
,,71492,,,,,,LA71492,,,NRG,,,Yes
,,71493,,,,,,LA71493,,,NRG,,,Yes
,,71504,,,,,,LA71504,,,NRG,,,Yes
,,72101,,,,,,LA72101,,,NRG,,,Yes
,,72268,,,,,,LA72268,,,NRG,,,Yes
,,74989,,,,,,LA74989,,,NRG,,,Yes
,,75116,,,,,,LA75116,,,NRG,,,Yes
,,75574,,,,,,LA75574,,,NRG,,,Yes
,,75575,,,,,,LA75575,,,NRG,,,Yes
,,75576,,,,,,LA75576,,,NRG,,,Yes
,,75577,,,,,,LA75577,,,NRG,,,Yes
,,75578,,,,,,LA75578,,,NRG,,,Yes
,,75579,,,,,,LA75579,,,NRG,,,Yes
,,75580,,,,,,LA75580,,,NRG,,,Yes
,,75581,,,,,,LA75581,,,NRG,,,Yes
,,75582,,,,,,LA75582,,,NRG,,,Yes
,,75583,,,,,,LA75583,,,NRG,,,Yes
,,75584,,,,,,LA75584,,,NRG,,,Yes
,,75609,,,,,,LA75609,,,NRG,,,Yes
,,75611,,,,,,LA75611,,,NRG,,,Yes
,,77563,,,,,,LA77563,,,NRG,,,Yes
,,77564,,,,,,LA77564,,,NRG,,,Yes
,,77572,,,,,,LA77572,,,NRG,,,Yes
,,77577,,,,,,LA77577,,,NRG,,,Yes
,,77579,,,,,,LA77579,,,NRG,,,Yes
,,77580,,,,,,LA77580,,,NRG,,,Yes
,,77581,,,,,,LA77581,,,NRG,,,Yes
,,77582,,,,,,LA77582,,,NRG,,,Yes
,,77583,,,,,,LA77583,,,NRG,,,Yes
,,77584,,,,,,LA77584,,,NRG,,,Yes
,,77585,,,,,,LA77585,,,NRG,,,Yes
,,77586,,,,,,LA77586,,,NRG,,,Yes
,,77587,,,,,,LA77587,,,NRG,,,Yes
,,77590,,,,,,LA77590,,,NRG,,,Yes
,,77591,,,,,,LA77591,,,NRG,,,Yes
,,77593,,,,,,LA77593,,,NRG,,,Yes
,,77594,,,,,,LA77594,,,NRG,,,Yes
,,77595,,,,,,LA77595,,,NRG,,,Yes
,,77596,,,,,,LA77596,,,NRG,,,Yes
,,77597,,,,,,LA77597,,,NRG,,,Yes
,,77598,,,,,,LA77598,,,NRG,,,Yes
,,77600,,,,,,LA77600,,,NRG,,,Yes
,,77601,,,,,,LA77601,,,NRG,,,Yes
,,77602,,,,,,LA77602,,,NRG,,,Yes
,,77604,,,,,,LA77604,,,NRG,,,Yes
,,77605,,,,,,LA77605,,,NRG,,,Yes
,,77607,,,,,,LA77607,,,NRG,,,Yes
,,77608,,,,,,LA77608,,,NRG,,,Yes
,,77612,,,,,,LA77612,,,NRG,,,Yes
,,77615,,,,,,LA77615,,,NRG,,,Yes
,,77618,,,,,,LA77618,,,NRG,,,Yes
,,77619,,,,,,LA77619,,,NRG,,,Yes
,,77621,,,,,,LA77621,,,NRG,,,Yes
,,77624,,,,,,LA77624,,,NRG,,,Yes
,,77626,,,,,,LA77626,,,NRG,,,Yes
,,77629,,,,,,LA77629,,,NRG,,,Yes
,,77632,,,,,,LA77632,,,NRG,,,Yes
,,77635,,,,,,LA77635,,,NRG,,,Yes
,,77638,,,,,,LA77638,,,NRG,,,Yes
,,77640,,,,,,LA77640,,,NRG,,,Yes
,,77642,,,,,,LA77642,,,NRG,,,Yes
,,77643,,,,,,LA77643,,,NRG,,,Yes
,,77645,,,,,,LA77645,,,NRG,,,Yes
,,77646,,,,,,LA77646,,,NRG,,,Yes
,,77647,,,,,,LA77647,,,NRG,,,Yes
,,77649,,,,,,LA77649,,,NRG,,,Yes
,,77650,,,,,,LA77650,,,NRG,,,Yes
,,77651,,,,,,LA77651,,,NRG,,,Yes
,,77653,,,,,,LA77653,,,NRG,,,Yes
,,77654,,,,,,LA77654,,,NRG,,,Yes
,,77655,,,,,,LA77655,,,NRG,,,Yes
,,77658,,,,,,LA77658,,,NRG,,,Yes
,,77659,,,,,,LA77659,,,NRG,,,Yes
,,77661,,,,,,LA77661,,,NRG,,,Yes
,,77662,,,,,,LA77662,,,NRG,,,Yes
,,77664,,,,,,LA77664,,,NRG,,,Yes
,,77665,,,,,,LA77665,,,NRG,,,Yes
,,77667,,,,,,LA77667,,,NRG,,,Yes
,,77675,,,,,,LA77675,,,NRG,,,Yes
,,77679,,,,,,LA77679,,,NRG,,,Yes
,,77683,,,,,,LA77683,,,NRG,,,Yes
,,77684,,,,,,LA77684,,,NRG,,,Yes
,,77686,,,,,,LA77686,,,NRG,,,Yes
,,77689,,,,,,LA77689,,,NRG,,,Yes
,,77691,,,,,,LA77691,,,NRG,,,Yes
,,77700,,,,,,LA77700,,,NRG,,,Yes
,,77703,,,,,,LA77703,,,NRG,,,Yes
,,77712,,,,,,LA77712,,,NRG,,,Yes
,,77716,,,,,,LA77716,,,NRG,,,Yes
,,77718,,,,,,LA77718,,,NRG,,,Yes
,,77720,,,,,,LA77720,,,NRG,,,Yes
,,77742,,,,,,LA77742,,,NRG,,,Yes
,,77744,,,,,,LA77744,,,NRG,,,Yes
,,77745,,,,,,LA77745,,,NRG,,,Yes
,,77746,,,,,,LA77746,,,NRG,,,Yes
,,77748,,,,,,LA77748,,,NRG,,,Yes
,,77751,,,,,,LA77751,,,NRG,,,Yes
,,77753,,,,,,LA77753,,,NRG,,,Yes
,,77755,,,,,,LA77755,,,NRG,,,Yes
,,77756,,,,,,LA77756,,,NRG,,,Yes
,,77758,,,,,,LA77758,,,NRG,,,Yes
,,77760,,,,,,LA77760,,,NRG,,,Yes
,,77761,,,,,,LA77761,,,NRG,,,Yes
,,77767,,,,,,LA77767,,,NRG,,,Yes
,,77770,,,,,,LA77770,,,NRG,,,Yes
,,77772,,,,,,LA77772,,,NRG,,,Yes
,,77774,,,,,,LA77774,,,NRG,,,Yes
,,77775,,,,,,LA77775,,,NRG,,,Yes
,,77776,,,,,,LA77776,,,NRG,,,Yes
,,77777,,,,,,LA77777,,,NRG,,,Yes
,,77780,,,,,,LA77780,,,NRG,,,Yes
,,77781,,,,,,LA77781,,,NRG,,,Yes
,,77782,,,,,,LA77782,,,NRG,,,Yes
,,77784,,,,,,LA77784,,,NRG,,,Yes
,,77786,,,,,,LA77786,,,NRG,,,Yes
,,77796,,,,,,LA77796,,,NRG,,,Yes
,,77804,,,,,,LA77804,,,NRG,,,Yes
,,77812,,,,,,LA77812,,,NRG,,,Yes
,,77813,,,,,,LA77813,,,NRG,,,Yes
,,77815,,,,,,LA77815,,,NRG,,,Yes
,,77816,,,,,,LA77816,,,NRG,,,Yes
,,77817,,,,,,LA77817,,,NRG,,,Yes
,,77818,,,,,,LA77818,,,NRG,,,Yes
,,77819,,,,,,LA77819,,,NRG,,,Yes
,,77829,,,,,,LA77829,,,NRG,,,Yes
,,77831,,,,,,LA77831,,,NRG,,,Yes
,,77834,,,,,,LA77834,,,NRG,,,Yes
,,77843,,,,,,LA77843,,,NRG,,,Yes
,,77844,,,,,,LA77844,,,NRG,,,Yes
,,77847,,,,,,LA77847,,,NRG,,,Yes
,,77848,,,,,,LA77848,,,NRG,,,Yes
,,77851,,,,,,LA77851,,,NRG,,,Yes
,,77854,,,,,,LA77854,,,NRG,,,Yes
,,77855,,,,,,LA77855,,,NRG,,,Yes
,,77859,,,,,,LA77859,,,NRG,,,Yes
,,80655,,,,,,LA80655,,,NRG,,,Yes
,,82430,,,,,,LA82430,,,NRG,,,Yes
,,82475,,,,,,LA82475,,,NRG,,,Yes
,,82591,,,,,,LA82591,,,NRG,,,Yes
,,82596,,,,,,LA82596,,,NRG,,,Yes
,,82601,,,,,,LA82601,,,NRG,,,Yes
,,82603,,,,,,LA82603,,,NRG,,,Yes
,,82605,,,,,,LA82605,,,NRG,,,Yes
,,82606,,,,,,LA82606,,,NRG,,,Yes
,,82607,,,,,,LA82607,,,NRG,,,Yes
,,82609,,,,,,LA82609,,,NRG,,,Yes
,,82611,,,,,,LA82611,,,NRG,,,Yes
,,84000,,,,,,LA84000,,,NRG,,,Yes
,,84009,,,,,,LA84009,,,NRG,,,Yes
,,84026,,,,,,LA84026,,,NRG,,,Yes
,,84034,,,,,,LA84034,,,NRG,,,Yes
,,84035,,,,,,LA84035,,,NRG,,,Yes
,,84036,,,,,,LA84036,,,NRG,,,Yes
,,84037,,,,,,LA84037,,,NRG,,,Yes
,,84038,,,,,,LA84038,,,NRG,,,Yes
,,84040,,,,,,LA84040,,,NRG,,,Yes
,,84042,,,,,,LA84042,,,NRG,,,Yes
,,84043,,,,,,LA84043,,,NRG,,,Yes
,,84044,,,,,,LA84044,,,NRG,,,Yes
,,84047,,,,,,LA84047,,,NRG,,,Yes
,,84051,,,,,,LA84051,,,NRG,,,Yes
,,84053,,,,,,LA84053,,,NRG,,,Yes
,,84055,,,,,,LA84055,,,NRG,,,Yes
,,84058,,,,,,LA84058,,,NRG,,,Yes
,,84060,,,,,,LA84060,,,NRG,,,Yes
,,84062,,,,,,LA84062,,,NRG,,,Yes
,,84064,,,,,,LA84064,,,NRG,,,Yes
,,84081,,,,,,LA84081,,,NRG,,,Yes
,,84087,,,,,,LA84087,,,NRG,,,Yes
,,84090,,,,,,LA84090,,,NRG,,,Yes
,,84103,,,,,,LA84103,,,NRG,,,Yes
,,84110,,,,,,LA84110,,,NRG,,,Yes
,,84121,,,,,,LA84121,,,NRG,,,Yes
,,84125,,,,,,LA84125,,,NRG,,,Yes
,,84126,,,,,,LA84126,,,NRG,,,Yes
,,84128,,,,,,LA84128,,,NRG,,,Yes
,,84129,,,,,,LA84129,,,NRG,,,Yes
,,84138,,,,,,LA84138,,,NRG,,,Yes
,,84146,,,,,,LA84146,,,NRG,,,Yes
,,84151,,,,,,LA84151,,,NRG,,,Yes
,,84152,,,,,,LA84152,,,NRG,,,Yes
,,84154,,,,,,LA84154,,,NRG,,,Yes
,,84157,,,,,,LA84157,,,NRG,,,Yes
,,84160,,,,,,LA84160,,,NRG,,,Yes
,,84161,,,,,,LA84161,,,NRG,,,Yes
,,84166,,,,,,LA84166,,,NRG,,,Yes
,,84168,,,,,,LA84168,,,NRG,,,Yes
,,84758,,,,,,LA84758,,,NRG,,,Yes
,,84927,,,,,,LA84927,,,NRG,,,Yes
,,85402,,,,,,LA85402,,,NRG,,,Yes
,,85403,,,,,,LA85403,,,NRG,,,Yes
,,85404,,,,,,LA85404,,,NRG,,,Yes
,,85405,,,,,,LA85405,,,NRG,,,Yes
,,85408,,,,,,LA85408,,,NRG,,,Yes
,,85409,,,,,,LA85409,,,NRG,,,Yes
,,85411,,,,,,LA85411,,,NRG,,,Yes
,,85412,,,,,,LA85412,,,NRG,,,Yes
,,85413,,,,,,LA85413,,,NRG,,,Yes
,,85414,,,,,,LA85414,,,NRG,,,Yes
,,85417,,,,,,LA85417,,,NRG,,,Yes
,,85857,,,,,,LA85857,,,NRG,,,Yes
,,85861,,,,,,LA85861,,,NRG,,,Yes
,,85862,,,,,,LA85862,,,NRG,,,Yes
,,85866,,,,,,LA85866,,,NRG,,,Yes
,,85867,,,,,,LA85867,,,NRG,,,Yes
,,86529,,,,,,LA86529,,,NRG,,,Yes
,,86530,,,,,,LA86530,,,NRG,,,Yes
,,86534,,,,,,LA86534,,,NRG,,,Yes
,,86536,,,,,,LA86536,,,NRG,,,Yes
,,86538,,,,,,LA86538,,,NRG,,,Yes
,,86540,,,,,,LA86540,,,NRG,,,Yes
,,86541,,,,,,LA86541,,,NRG,,,Yes
,,86545,,,,,,LA86545,,,NRG,,,Yes
,,86546,,,,,,LA86546,,,NRG,,,Yes
,,86547,,,,,,LA86547,,,NRG,,,Yes
,,86551,,,,,,LA86551,,,NRG,,,Yes
,,86552,,,,,,LA86552,,,NRG,,,Yes
,,86557,,,,,,LA86557,,,NRG,,,Yes
,,86558,,,,,,LA86558,,,NRG,,,Yes
,,86559,,,,,,LA86559,,,NRG,,,Yes
,,86560,,,,,,LA86560,,,NRG,,,Yes
,,86561,,,,,,LA86561,,,NRG,,,Yes
,,86562,,,,,,LA86562,,,NRG,,,Yes
,,86563,,,,,,LA86563,,,NRG,,,Yes
,,86565,,,,,,LA86565,,,NRG,,,Yes
,,86566,,,,,,LA86566,,,NRG,,,Yes
,,86567,,,,,,LA86567,,,NRG,,,Yes
,,86568,,,,,,LA86568,,,NRG,,,Yes
,,86570,,,,,,LA86570,,,NRG,,,Yes
,,86571,,,,,,LA86571,,,NRG,,,Yes
,,86573,,,,,,LA86573,,,NRG,,,Yes
,,86575,,,,,,LA86575,,,NRG,,,Yes
,,86576,,,,,,LA86576,,,NRG,,,Yes
,,86577,,,,,,LA86577,,,NRG,,,Yes
,,86578,,,,,,LA86578,,,NRG,,,Yes
,,86579,,,,,,LA86579,,,NRG,,,Yes
,,86580,,,,,,LA86580,,,NRG,,,Yes
,,86581,,,,,,LA86581,,,NRG,,,Yes
,,86595,,,,,,LA86595,,,NRG,,,Yes
,,86599,,,,,,LA86599,,,NRG,,,Yes
,,86604,,,,,,LA86604,,,NRG,,,Yes
,,86605,,,,,,LA86605,,,NRG,,,Yes
,,86606,,,,,,LA86606,,,NRG,,,Yes
,,86607,,,,,,LA86607,,,NRG,,,Yes
,,86608,,,,,,LA86608,,,NRG,,,Yes
,,86611,,,,,,LA86611,,,NRG,,,Yes
,,86612,,,,,,LA86612,,,NRG,,,Yes
,,86614,,,,,,LA86614,,,NRG,,,Yes
,,86615,,,,,,LA86615,,,NRG,,,Yes
,,86616,,,,,,LA86616,,,NRG,,,Yes
,,86617,,,,,,LA86617,,,NRG,,,Yes
,,86620,,,,,,LA86620,,,NRG,,,Yes
,,86621,,,,,,LA86621,,,NRG,,,Yes
,,86623,,,,,,LA86623,,,NRG,,,Yes
,,86624,,,,,,LA86624,,,NRG,,,Yes
,,86625,,,,,,LA86625,,,NRG,,,Yes
,,86626,,,,,,LA86626,,,NRG,,,Yes
,,86627,,,,,,LA86627,,,NRG,,,Yes
,,86628,,,,,,LA86628,,,NRG,,,Yes
