VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
GILA PUEBLO 4,5MV35,,Mesa Verde 4(Gp),5MV35,184,,5MV35,,184,Gila Pueblo 4,CMV,,,Yes
,,,Mesa Verde 102(Gp),,185,,,,185,Gila Pueblo 102,CMV,,,Yes
,,,Mesa Verde 105(Gp),,186,,,,186,Gila Pueblo 105,CMV,,,Yes
,,,Mesa Verde 107(Gp),,187,,,,187,Gila Pueblo 107,CMV,,,Yes
GILA PUEBLO 110,5MV763,,Mesa Verde 110(Gp),,188,,5MV763,,188,Gila Pueblo 110,CMV,,,Yes
GILA PUEBLO 115,5MV514,,Mesa Verde 115(Gp),,189,,5MV514,,189,Gila Pueblo 115,CMV,,,Yes
GILA PUEBLO 130,5MV538,,Mesa Verde 130(Gp),,190,,5MV538,,190,Gila Pueblo 130,CMV,,,Yes
,,,Mesa Verde 145(Gp),,191,,,,191,Gila Pueblo 145,CMV,,,Yes
NEW FIRE HOUSE,5MV522,,NEW FIRE HOUSE,,192,New Fire House,5MV522,,192,,CMV,,,Yes
Oak Tree House,5MV523,,Oak Tree House,,193,Oak Tree House,5MV523,,193,,CMV,,,Yes
PAINTED KIVA HOUSE~GILA PUEBLO 127~RUIN 9 (NORDENSKIOLD),5MV557,,Painted Kiva House,,194,Painted Kiva Ruin,5MV557,,194,Gila Pueblo 127; Nordenskiold 9,CMV,,,Yes
PIPE SHRINE HOUSE~GILA PUEBLO 138,5MV809,,Pipe Shrine House,,195,Pipe Shrine House,5MV809,,195,Gila Pueblo 138,CMV,,,Yes
,,,Mesa Verde 141(Gp),,196,,,,196,Gila Pueblo 141,CMV,,,Yes
,,,Mesa Verde Pithouse No. 1,,197,Pithouse No. 1,5MV405,,,Gila Pueblo 140; Reservoir Pit House; Pipeline Excavation,CMV,,,Yes
